,train_loss,val_loss,train_f1,val_f1,train_accuracy,val_accuracy
0,3.1088805,2.258206,0.1417773445136845,0.1877232130084719,0.14177734374999998,0.18772321428571428
1,2.196975,2.1090074,0.2079882798716426,0.2274553541626249,0.20798828125000005,0.22745535714285717
2,2.090271,2.0700474,0.2549804663285613,0.24799106802259172,0.25498046875,0.24799107142857144
3,2.0263214,2.0163662,0.27310546580702066,0.2816964260169438,0.27310546874999997,0.28169642857142857
4,1.9811851,1.9802696,0.29199218563735485,0.2930803596973419,0.29199218750000006,0.2930803571428572
5,1.9462714,1.9540217,0.3060742150992155,0.3020089268684387,0.30607421875,0.3020089285714286
6,1.9152107,1.933206,0.31878906302154064,0.30982142261096407,0.3187890625,0.3098214285714285
7,1.8866086,1.9148949,0.3285546861588955,0.3169642857142857,0.3285546875,0.3169642857142857
8,1.8609145,1.8992132,0.33982422575354576,0.32299106461661203,0.33982421875,0.3229910714285714
9,1.8381587,1.8858882,0.34765625186264515,0.32790179337774006,0.34765624999999994,0.3279017857142858
10,1.8178724,1.8742335,0.35556640662252903,0.33214285543986727,0.35556640625,0.33214285714285713
11,1.7993177,1.8635172,0.36388672329485416,0.33415178315980093,0.3638867187499999,0.3341517857142858
12,1.7816039,1.8537859,0.37027343921363354,0.3392857142857143,0.3702734375,0.33928571428571425
13,1.7647115,1.845013,0.37595703452825546,0.3435267848627908,0.37595703125,0.34352678571428574
14,1.7486242,1.8369544,0.38228515163064003,0.3482142857142857,0.38228515625,0.34821428571428575
15,1.7331402,1.8289064,0.3882617149502039,0.3517857108797346,0.38826171875,0.35178571428571426
16,1.7176663,1.8221523,0.3923632763326168,0.3529017950807299,0.39236328125000003,0.35290178571428577
17,1.7027082,1.8153088,0.3980078175663948,0.35781250255448477,0.39800781250000006,0.35781250000000003
18,1.6880913,1.8094369,0.4045312572270632,0.358705358845847,0.40453125,0.3587053571428571
19,1.6739361,1.8037949,0.4084179736673832,0.35982143027441843,0.4084179687499999,0.35982142857142857
20,1.6599226,1.7982025,0.41416015289723873,0.36205357738903593,0.41416015624999997,0.3620535714285714
21,1.6461732,1.7934134,0.4195898398756981,0.3669642848627908,0.41958984375,0.36696428571428574
22,1.6326896,1.7889155,0.42417968809604645,0.3687500059604645,0.4241796875,0.36875
23,1.6193964,1.7842407,0.42816406302154064,0.37120536821229116,0.4281640625,0.37120535714285713
24,1.6060652,1.7801303,0.4333984311670065,0.36986607738903593,0.4333984375,0.3698660714285714
25,1.5930772,1.776033,0.4390039090067148,0.3716517857142857,0.43900390625,0.3716517857142857
26,1.5800468,1.7729646,0.44212890416383743,0.3741071479661124,0.44212890624999995,0.37410714285714286
27,1.5675155,1.7703676,0.4475976526737213,0.37611607568604605,0.44759765625,0.37611607142857145
28,1.5552164,1.7676909,0.4532812424004078,0.3785714251654489,0.45328124999999997,0.3785714285714286
29,1.5431561,1.7649021,0.4578320328146219,0.37991071173122953,0.45783203125,0.3799107142857143
30,1.5310322,1.7627239,0.46314453333616257,0.38013392261096407,0.46314453125000005,0.3801339285714286
31,1.5189786,1.7614828,0.467890627682209,0.38013393112591337,0.467890625,0.3801339285714285
32,1.507241,1.7610471,0.4709960948675871,0.38392857568604605,0.47099609374999996,0.38392857142857145
33,1.4960698,1.7618669,0.47435547038912773,0.3832589430468423,0.47435546875000006,0.38325892857142857
34,1.4860946,1.7635356,0.4787109401077032,0.38169642857142855,0.4787109375,0.38169642857142855
35,1.4763424,1.7628028,0.4813085962086916,0.38147321343421936,0.48130859375000007,0.3814732142857143
36,1.4650117,1.7608271,0.48398437537252903,0.3825892891202654,0.48398437499999997,0.38258928571428574
37,1.4529918,1.7590427,0.49083984084427357,0.3837053690637861,0.49083984375,0.38370535714285714
38,1.4424505,1.756951,0.49664062820374966,0.3821428673607962,0.49664062499999995,0.3821428571428571
39,1.4375373,1.7557153,0.49712890945374966,0.3808035807950156,0.49712890624999995,0.38080357142857146
40,1.4276036,1.7550328,0.5004296861588955,0.3850446343421936,0.5004296874999999,0.38504464285714285
41,1.4127799,1.7568778,0.5070312451571226,0.38437501021793913,0.50703125,0.38437499999999997
42,1.4009806,1.7632121,0.5121875051409006,0.3872767814568111,0.5121874999999999,0.38727678571428575
43,1.3949904,1.7711947,0.510976554825902,0.3823660739830562,0.5109765625,0.3823660714285714
