,train_loss,val_loss,train_f1,val_f1,train_accuracy,val_accuracy
0,2.2145185,1.1786844,0.3874023458920419,0.6897321513720921,0.38740234374999993,0.6897321428571429
1,0.90965074,0.6842626,0.7376367263495922,0.818973217691694,0.7376367187499999,0.8189732142857142
2,0.5915736,0.5293861,0.8280468732118607,0.8564731989588056,0.8280468750000002,0.8564732142857142
3,0.477229,0.4653861,0.8615820221602917,0.8674107108797345,0.86158203125,0.8674107142857143
4,0.40087527,0.41918233,0.8861718736588955,0.8770089234624591,0.8861718749999998,0.8770089285714285
5,0.35397574,0.39042088,0.9019531272351742,0.886160705770765,0.901953125,0.8861607142857143
6,0.3215139,0.36705878,0.9091406241059303,0.8921875017029899,0.9091406249999999,0.8921875
7,0.29661387,0.3476561,0.9153906255960464,0.8933035475867135,0.9153906249999999,0.8933035714285715
8,0.27652618,0.33093527,0.9226171895861626,0.8988839302744184,0.9226171875000001,0.8988839285714285
9,0.25963676,0.31676075,0.9272851534187794,0.9026785578046527,0.9272851562500001,0.9026785714285716
10,0.24510626,0.30388266,0.9308398440480232,0.908928564616612,0.9308398437500002,0.9089285714285715
11,0.23224334,0.2927907,0.9339257851243019,0.9104910663196019,0.93392578125,0.9104910714285713
12,0.22069605,0.28274137,0.9384374879300594,0.913616052695683,0.9384375000000001,0.9136160714285715
13,0.21033217,0.27337915,0.9413281232118607,0.9160714234624591,0.9413281250000001,0.9160714285714285
14,0.20090242,0.26492646,0.9435742199420929,0.918080346924918,0.94357421875,0.9180803571428572
15,0.19228786,0.25721768,0.9462304674088955,0.9203124897820609,0.94623046875,0.9203125000000002
16,0.18434171,0.25002882,0.9488281272351742,0.9223214217594692,0.9488281249999999,0.9223214285714286
17,0.17703612,0.2434723,0.9500000029802322,0.9254464251654488,0.9500000000000001,0.9254464285714284
18,0.17024718,0.23742774,0.9520703069865704,0.9285714285714286,0.9520703125,0.9285714285714285
19,0.16391093,0.23175362,0.9535351619124413,0.9290178503308978,0.9535351562500001,0.9290178571428571
20,0.15797873,0.22653076,0.9551562555134296,0.9303571326392037,0.9551562499999999,0.9303571428571429
21,0.1524404,0.22178718,0.9570117294788361,0.9325893095561436,0.95701171875,0.9325892857142856
22,0.14721127,0.21733867,0.9584374912083149,0.933705380984715,0.9584375,0.9337053571428571
23,0.1422886,0.21321689,0.9600000008940697,0.936830358845847,0.9600000000000002,0.9368303571428572
24,0.13766761,0.20951381,0.9613281227648258,0.9377232193946838,0.9613281250000001,0.9377232142857144
25,0.13329455,0.20597386,0.9630859419703484,0.9406250034059797,0.9630859374999999,0.940625
26,0.12913059,0.20273545,0.9647656232118607,0.9433035765375409,0.9647656250000001,0.9433035714285715
27,0.12515593,0.19974105,0.9661914110183716,0.9457589302744184,0.9661914062499999,0.9457589285714285
28,0.12138079,0.19701967,0.9681445322930813,0.9457589302744184,0.9681445312499999,0.9457589285714285
29,0.11779779,0.19444466,0.969316404312849,0.946651782308306,0.96931640625,0.9466517857142858
30,0.11437466,0.19203137,0.9698046818375587,0.9464285714285714,0.9698046875,0.9464285714285714
31,0.111098595,0.18973775,0.9709765687584877,0.9470982125827244,0.9709765625000001,0.9470982142857143
32,0.107968695,0.18768252,0.971757810562849,0.9477678707667759,0.9717578125,0.947767857142857
33,0.104983985,0.18575546,0.972929697483778,0.9482143010411944,0.9729296874999999,0.9482142857142858
34,0.10211089,0.18393059,0.974199216812849,0.9491071360451835,0.9741992187499999,0.9491071428571428
35,0.099356405,0.18224175,0.9751953110098839,0.9504464268684387,0.9751953125000001,0.9504464285714286
36,0.096712515,0.18066512,0.9759765602648258,0.9508928741727557,0.9759765625000002,0.9508928571428571
37,0.094193146,0.1791896,0.9764648452401161,0.9511160765375409,0.9764648437500001,0.9511160714285714
38,0.09176611,0.17777951,0.9769140630960464,0.9513392874172756,0.9769140625000001,0.9513392857142857
39,0.08943161,0.17639127,0.9778906255960464,0.9515624982970101,0.9778906250000002,0.9515625000000002
40,0.087196074,0.17514,0.9788281247019768,0.951785717691694,0.978828125,0.9517857142857143
41,0.08503135,0.1739494,0.979570310562849,0.9522321564810616,0.9795703124999999,0.9522321428571429
42,0.08294493,0.17279913,0.9805468767881393,0.9526785867554801,0.9805468749999998,0.9526785714285714
43,0.08093446,0.17175607,0.9814257808029652,0.9526785867554801,0.9814257812499999,0.9526785714285714
44,0.07897853,0.17073098,0.9816210940480232,0.9526785867554801,0.98162109375,0.9526785714285714
45,0.07709495,0.16981092,0.9819140657782555,0.9535714217594692,0.9819140624999999,0.9535714285714285
46,0.075265415,0.16891016,0.9824023470282555,0.953794641154153,0.9824023437499999,0.9537946428571429
47,0.073480874,0.16800891,0.9833789169788361,0.9540178520338876,0.9833789062499999,0.9540178571428571
48,0.07176656,0.16717725,0.9835742264986038,0.9544642737933567,0.98357421875,0.9544642857142857
49,0.07010394,0.16638471,0.9843554720282555,0.9551339149475098,0.9843554687499998,0.9551339285714286
50,0.068484865,0.16569015,0.9850390553474426,0.9546874846730914,0.9850390625,0.9546875000000001
51,0.06692028,0.16495895,0.9854296818375587,0.9549107040677752,0.9854296875,0.9549107142857143
52,0.06538347,0.16427968,0.9858203083276749,0.9549107040677752,0.9858203125,0.9549107142857143
53,0.06391158,0.16359052,0.9865039028227329,0.9555803537368774,0.98650390625,0.9555803571428572
54,0.062466342,0.16293144,0.986894529312849,0.955803564616612,0.9868945312499999,0.9558035714285715
55,0.061072666,0.16234758,0.9873828068375587,0.955803564616612,0.9873828124999998,0.9558035714285715
56,0.059719753,0.1617107,0.9875781238079071,0.955803564616612,0.987578125,0.9558035714285715
57,0.05839844,0.1611242,0.9882617145776749,0.9560267840112958,0.9882617187499999,0.9560267857142858
58,0.057137176,0.16058011,0.9888476580381393,0.9560267840112958,0.9888476562499999,0.9560267857142858
59,0.055896293,0.16006646,0.9890429675579071,0.9566964251654488,0.9890429687499999,0.9566964285714287
60,0.054709475,0.1596366,0.9892382808029652,0.9566964251654488,0.9892382812499999,0.9566964285714287
